sed_filter,la,width,flux,eflux
Johnson.U,3531,309.0,-12.218,0.06212909091800667
Cousins.B,4359.98,464.0,-11.45,0.04
Johnson.B,4442.03,445.0,-12.6822,0.07473248485196549
SDSS.g,4819.97,622.0,-11.0759,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.0521,0.04
Cousins.V,5469.67,421.0,-10.9801,0.04
Johnson.V,5537.05,409.0,-11.0411,0.04136137709515484
GAIA.GAIA3.G,5822.34,2026.0,-10.7671,0.04
SDSS.r,6246.98,631.0,-10.8345,0.04
Cousins.R,6468.99,648.0,-10.7474,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-10.581,0.04
SDSS.i,7634.91,645.0,-10.5793,0.04
Cousins.I,7885.95,475.0,-10.6642,0.04
SDSS.z,9017.94,663.0,-10.5388,0.04
2MASS.J,12390.2,750.0,-10.4549,0.04
Johnson.J,12500.2,1500.0,-10.427,0.04
Johnson.H,16300.2,1000.0,-10.4009,0.04
2MASS.H,16494.8,1200.0,-10.4061,0.04
2MASS.Ks,21637.9,1250.0,-10.6279,0.04
Johnson.K,21900.2,2700.0,-10.6281,0.04
WISE.W1,33500.1,3300.0,-11.1032,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-11.1549,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-11.5083,0.04
WISE.W2,46000.2,5200.0,-11.5586,0.04
WISE.W3,115598,27550.0,-12.9476,0.08985403438530534
