sed_filter,la,width,flux,eflux
Johnson.U,3531,309.0,-13.0417,0.11364715733911704
Johnson.B,4442.03,445.0,-11.6616,0.04
SDSS.g,4819.97,622.0,-11.6957,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.6618,0.04
Cousins.V,5469.67,421.0,-11.6526,0.04
Johnson.V,5537.05,409.0,-11.5015,0.040295363152064084
GAIA.GAIA3.G,5822.34,2026.0,-11.5479,0.04
SDSS.r,6246.98,631.0,-11.4986,0.04
Cousins.R,6468.99,648.0,-11.4707,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.3638,0.04
SDSS.i,7634.91,645.0,-11.3726,0.04
Cousins.I,7885.95,475.0,-11.3593,0.04
SDSS.z,9017.94,663.0,-11.3955,0.04
2MASS.J,12390.2,750.0,-11.3024,0.04
Johnson.J,12500.2,1500.0,-11.3212,0.04
Johnson.H,16300.2,1000.0,-11.3221,0.04
2MASS.H,16494.8,1200.0,-11.3012,0.04
2MASS.Ks,21637.9,1250.0,-11.5466,0.04
Johnson.K,21900.2,2700.0,-11.5918,0.04
WISE.W1,33500.1,3300.0,-11.98,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.0875,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-12.4361,0.04
WISE.W2,46000.2,5200.0,-12.4809,0.04
WISE.W3,115598,27550.0,-13.4558,0.04
