sed_filter,la,width,flux,eflux
XMM-OT.UVW1,2908.07,577.0,-10.2552,0.04
Cousins.U,3500.2,319.0,-10.6049,0.04
SDSS.u,3519.02,277.0,-10.6102,0.04
Johnson.U,3531,309.0,-10.6766,0.04
Cousins.B,4359.98,464.0,-10.6376,0.04
Johnson.B,4442.03,445.0,-13.2882,0.07456432082143546
SDSS.g,4819.97,622.0,-10.7149,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-10.7859,0.04
Cousins.V,5469.67,421.0,-10.858,0.04
Johnson.V,5537.05,409.0,-10.8351,0.05951442748705003
GAIA.GAIA3.G,5822.34,2026.0,-10.9172,0.04
SDSS.r,6246.98,631.0,-10.9647,0.04
Cousins.R,6468.99,648.0,-11.018,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.1851,0.04
SDSS.i,7634.91,645.0,-11.2568,0.04
Cousins.I,7885.95,475.0,-11.2186,0.04
SDSS.z,9017.94,663.0,-11.4138,0.04118309680026322
2MASS.J,12390.2,750.0,-11.6703,0.04
Johnson.J,12500.2,1500.0,-11.6654,0.04
Johnson.H,16300.2,1000.0,-11.889,0.04
2MASS.H,16494.8,1200.0,-11.8899,0.04
2MASS.Ks,21637.9,1250.0,-12.1424,0.04
Johnson.K,21900.2,2700.0,-12.3321,0.04
WISE.W1,33500.1,3300.0,-12.9147,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.8666,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-13.1858,0.04
WISE.W2,46000.2,5200.0,-13.7643,0.13653956787383384
