sed_filter,la,width,flux,eflux
Johnson.U,3531,309.0,-12.4701,0.04353829556697126
Cousins.B,4359.98,464.0,-11.8163,0.04
Johnson.B,4442.03,445.0,-13.1496,0.07858661828260745
SDSS.g,4819.97,622.0,-11.4376,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.4709,0.04
Cousins.V,5469.67,421.0,-11.4357,0.04
Johnson.V,5537.05,409.0,-11.3639,0.09675146751173427
GAIA.GAIA3.G,5822.34,2026.0,-11.2509,0.04
SDSS.r,6246.98,631.0,-11.215,0.04
Cousins.R,6468.99,648.0,-11.2069,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.016,0.04
SDSS.i,7634.91,645.0,-10.9844,0.04
Cousins.I,7885.95,475.0,-10.9698,0.04
SDSS.z,9017.94,663.0,-10.9814,0.04
2MASS.J,12390.2,750.0,-10.8558,0.04
Johnson.J,12500.2,1500.0,-10.8507,0.04
Johnson.H,16300.2,1000.0,-10.8184,0.04
2MASS.H,16494.8,1200.0,-10.8194,0.04
2MASS.Ks,21637.9,1250.0,-11.0402,0.04
Johnson.K,21900.2,2700.0,-11.0928,0.04
WISE.W1,33500.1,3300.0,-11.5245,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-11.614,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-11.9402,0.04
WISE.W2,46000.2,5200.0,-12.0098,0.04
WISE.W3,115598,27550.0,-13.2681,0.11066157587570936
