sed_filter,la,width,flux,eflux
Johnson.B,4442.03,445.0,-11.9586,0.04
SDSS.g,4819.97,622.0,-11.798,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-11.6135,0.04
Cousins.V,5469.67,421.0,-11.5974,0.04
Johnson.V,5537.05,409.0,-11.5807,0.04
GAIA.GAIA3.G,5822.34,2026.0,-11.4828,0.04
SDSS.r,6246.98,631.0,-11.4444,0.04
Cousins.R,6468.99,648.0,-11.4103,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.2813,0.04
SDSS.i,7634.91,645.0,-11.1556,0.04
Cousins.I,7885.95,475.0,-11.2411,0.04
SDSS.z,9017.94,663.0,-11.186,0.04
2MASS.J,12390.2,750.0,-10.9516,0.04
Johnson.J,12500.2,1500.0,-11.2204,0.04
Johnson.H,16300.2,1000.0,-11.2142,0.04
2MASS.H,16494.8,1200.0,-10.9697,0.04
2MASS.Ks,21637.9,1250.0,-11.1772,0.04
Johnson.K,21900.2,2700.0,-11.4762,0.04
WISE.W1,33500.1,3300.0,-11.8809,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-11.973,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-12.2732,0.04
WISE.W2,46000.2,5200.0,-12.3452,0.04
WISE.W3,115598,27550.0,-13.3074,0.04
