sed_filter,la,width,flux,eflux
Cousins.U,3500.2,319.0,-10.442,0.04
SDSS.u,3519.02,277.0,-10.4321,0.04
Johnson.U,3531,309.0,-10.4789,0.04
Cousins.B,4359.98,464.0,-10.5457,0.04
Johnson.B,4442.03,445.0,-10.5808,0.04
SDSS.g,4819.97,622.0,-10.6287,0.04
GAIA.GAIA3.Gbp,5035.99,1079.0,-10.7028,0.04
Cousins.V,5469.67,421.0,-10.7884,0.04
Johnson.V,5537.05,409.0,-10.7737,0.04
GAIA.GAIA3.G,5822.34,2026.0,-10.8505,0.04
SDSS.r,6246.98,631.0,-10.9089,0.04
Cousins.R,6468.99,648.0,-10.9648,0.04
GAIA.GAIA3.Grp,7620.55,1462.0,-11.1451,0.04
SDSS.i,7634.91,645.0,-11.2241,0.04
Cousins.I,7885.95,475.0,-11.1648,0.04
SDSS.z,9017.94,663.0,-11.3512,0.04
2MASS.J,12390.2,750.0,-11.6838,0.04
Johnson.J,12500.2,1500.0,-11.6897,0.04
Johnson.H,16300.2,1000.0,-12.0219,0.04
2MASS.H,16494.8,1200.0,-11.9467,0.04
2MASS.Ks,21637.9,1250.0,-12.1457,0.4536525984900752
Johnson.K,21900.2,2700.0,-12.4042,0.04
WISE.W1,33500.1,3300.0,-12.7038,0.04
Spitzer.IRAC.3.6,35499.8,3745.0,-12.9528,0.04
Spitzer.IRAC.4.5,44930.2,5100.0,-13.2115,0.04
WISE.W2,46000.2,5200.0,-13.1647,0.04
WISE.W3,115598,27550.0,-13.5691,0.04
